patch_id,label,center_lon,center_lat,county_geoid,positive_pixels,area_m2,mean_confidence,max_confidence,bbox_width_m,bbox_height_m,voltage,substation_type,substation_name,operator,osm_id,geom_source,source,split
patch_0334366_1121297,positive,-112.12934375537392,33.437609353695,4013,669,240.84000000001825,0.5597432851791382,0.61767578125,37.20000000000141,9.600000000000364,,detected,,,-1,model,local_inference,prediction
patch_0334281_1121461,positive,-112.14524771088257,33.42779869294483,4013,3676,1323.3600000001004,0.5769733786582947,0.734375,79.200000000003,30.000000000001137,,detected,,,-1,model,local_inference,prediction
patch_0334282_1121395,positive,-112.1391133814404,33.42779295535539,4013,1510,543.6000000000412,0.64189612865448,0.83056640625,27.000000000001023,30.60000000000116,,detected,,,-1,model,local_inference,prediction
patch_0334254_1121394,positive,-112.13918979254558,33.42598483548506,4013,2189,788.0400000000596,0.7391898036003113,0.98583984375,42.00000000000159,29.400000000001114,,detected,,,-1,model,local_inference,prediction
patch_0334199_1121361,positive,-112.13632254777971,33.41989892051924,4013,2528,910.0800000000689,0.6306335926055908,0.76904296875,44.40000000000168,31.200000000001182,,detected,,,-1,model,local_inference,prediction
patch_0334199_1121328,positive,-112.13365066987853,33.41987737192981,4013,3729,1342.4400000001017,0.7203460335731506,0.9052734375,52.800000000002,35.40000000000134,,detected,,,-1,model,local_inference,prediction
patch_0334171_1121360,positive,-112.13547219228597,33.41654079135771,4013,54626,19665.360000001492,0.9291783571243286,0.9970703125,132.000000000005,170.40000000000646,,detected,,,-1,model,local_inference,prediction
patch_0334088_1121392,positive,-112.13806702366485,33.408437725445154,4013,3936,1416.9600000001074,0.6928545832633972,0.94921875,45.000000000001705,54.000000000002046,,detected,,,-1,model,local_inference,prediction
patch_0334088_1121359,positive,-112.13547175407552,33.40832622014216,4013,19260,6933.600000000526,0.6115721464157104,0.7744140625,126.6000000000048,87.60000000000332,,detected,,,-1,model,local_inference,prediction
patch_0334061_1121326,positive,-112.13216486597939,33.40608092706599,4013,1406,506.16000000003834,0.5599634647369385,0.7431640625,24.600000000000932,45.000000000001705,,detected,,,-1,model,local_inference,prediction
patch_0333976_1121490,positive,-112.14968202920107,33.39895530490987,4013,622,223.92000000001698,0.5549747943878174,0.63818359375,45.60000000000173,6.60000000000025,,detected,,,-1,model,local_inference,prediction
patch_0334990_1121404,positive,-112.14052525775847,33.49866390477943,4013,1487,535.3200000000405,0.6212950348854065,0.8505859375,18.600000000000705,54.000000000002046,,detected,,,-1,model,local_inference,prediction
patch_0334990_1121404,positive,-112.14158659216915,33.49783701307386,4013,2052,738.720000000056,0.5514501333236694,0.6103515625,33.00000000000125,50.40000000000191,,detected,,,-1,model,local_inference,prediction
patch_0334797_1121335,positive,-112.13401998990021,33.479258875415645,4013,3031,1091.1600000000828,0.6531807780265808,0.86865234375,35.40000000000134,43.20000000000164,,detected,,,-1,model,local_inference,prediction
patch_0334657_1121466,positive,-112.1469267066764,33.465638687853826,4013,1537,553.3200000000419,0.5688492655754089,0.6142578125,32.40000000000123,25.200000000000955,,detected,,,-1,model,local_inference,prediction
patch_0335359_1120609,positive,-112.06233960381266,33.53491465908344,4013,1429,514.4400000000389,0.6709694862365723,0.80078125,24.00000000000091,34.200000000001296,,detected,,,-1,model,local_inference,prediction
patch_0335301_1120939,positive,-112.09500457448996,33.53037948053074,4013,16115,5801.400000000439,0.9757159352302551,1.0,70.80000000000268,87.60000000000332,,detected,,,-1,model,local_inference,prediction
patch_0335302_1120773,positive,-112.07722101855566,33.52996996156305,4013,1159,417.2400000000316,0.7419170141220093,0.7919921875,18.600000000000705,25.800000000000978,,detected,,,-1,model,local_inference,prediction
patch_0335245_1120938,positive,-112.0942143160353,33.5235545988617,4013,593,213.4800000000162,0.6118493676185608,0.73388671875,22.800000000000864,13.800000000000523,,detected,,,-1,model,local_inference,prediction
patch_0335159_1121268,positive,-112.12658917741184,33.51604557508198,4013,1619,582.8400000000441,0.5787607431411743,0.71826171875,27.600000000001046,35.40000000000134,,detected,,,-1,model,local_inference,prediction
patch_0335132_1121234,positive,-112.12291793971946,33.5126562212252,4013,5032,1811.5200000001373,0.6382134556770325,0.7841796875,46.20000000000175,62.400000000002365,,detected,,,-1,model,local_inference,prediction
patch_0335136_1120738,positive,-112.07411688690671,33.51355168523752,4013,873,314.28000000002385,0.5815362334251404,0.6982421875,19.80000000000075,27.000000000001023,,detected,,,-1,model,local_inference,prediction
patch_0335104_1121201,positive,-112.12092849304261,33.50991985123154,4013,2798,1007.2800000000764,0.5784829258918762,0.6162109375,37.20000000000141,43.20000000000164,,detected,,,-1,model,local_inference,prediction
patch_0335105_1121102,positive,-112.10883318271978,33.51098923177948,4013,7341,2642.7600000002003,0.5889755487442017,0.64599609375,53.400000000002024,54.60000000000207,,detected,,,-1,model,local_inference,prediction
patch_0335278_1120346,positive,-112.0342886486046,33.527816956723406,4013,7454,2683.4400000002033,0.9231216907501221,0.99853515625,54.000000000002046,56.40000000000214,,detected,,,-1,model,local_inference,prediction
patch_0335112_1120378,positive,-112.03924091238675,33.51077821482253,4013,2980,1072.8000000000814,0.7298104166984558,0.87255859375,25.200000000000955,49.200000000001864,,detected,,,-1,model,local_inference,prediction
patch_0335115_1119981,positive,-111.99679512109509,33.51101340125323,4013,13394,4821.840000000366,0.8315309882164001,0.9912109375,69.60000000000264,87.60000000000332,,detected,,,-1,model,local_inference,prediction
